overs,battingteam,bowlingteam,venue,season,runs
0,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,0
0,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,1
0,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,2
1,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,2
1,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,6
1,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,7
2,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,8
2,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,12
2,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,18
2,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,21
3,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,22
3,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,23
3,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,25
3,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,31
4,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,31
4,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,32
4,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,36
4,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,37
5,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,41
5,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,42
5,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,43
5,Rajasthan Royals,Gujarat Titans,Narendra Modi Stadium,2022,44
0,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,0
0,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,1
0,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,5
1,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,5
1,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,9
1,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,11
2,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,11
3,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,16
3,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,22
4,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,23
4,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,24
4,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,25
5,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,25
5,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,26
5,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,27
5,Gujarat Titans,Rajasthan Royals,Narendra Modi Stadium,2022,31
0,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,0
0,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,1
0,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,2
0,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,8
1,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,8
1,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,9
1,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,13
2,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,13
2,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,17
3,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,21
3,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,25
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,26
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,27
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,29
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,33
4,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,37
5,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,37
5,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,41
5,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,45
5,Royal Challengers Bangalore,Rajasthan Royals,Narendra Modi Stadium,2022,46
0,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,0
0,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,6
0,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,10
0,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,16
1,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,16
1,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,20
1,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,22
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,22
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,23
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,27
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,31
2,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,37
3,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,37
3,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,38
3,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,40
3,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,42
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,44
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,45
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,51
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,57
4,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,61
5,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,61
5,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,62
5,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,66
5,Rajasthan Royals,Royal Challengers Bangalore,Narendra Modi Stadium,2022,67
0,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,0
0,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,1
0,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,4
1,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,8
1,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,9
1,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,13
2,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,17
2,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,19
2,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,20
3,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,21
3,Royal Challengers Bangalore,Lucknow Super Giants,Eden Gardens,2022,22
